circ,cli_ns_flop,md_ns_flop,cli_ns_touch,md_ns_touch,md_flop,cli_flop,md_touch,cli_touch,full_md_over_cli
distillation,4.921131651560325,1398.6792903498604,18.854848212093938,55.4544783464567,8336,2318,2032,605,1022.109524526625
cultivation_d3,1.3507949529278487,211.5450140903425,1.97950596788505,27.264219015280137,27824,1590,4712,1085,2740.5378524538014
cultivation_d5,0.4073686166952992,18.648195613770305,0.3076603525917046,0.5442664649410306,3836256,199074,619984,263591,882.1496897215047
coherent_d3_r3,0.23813973666884747,63.57734970756022,0.5897722633267677,20.385682437453553,95912,58638,16148,23677,436.681053007916
coherent_d5_r5,0.4585493104164937,0.9088535310066674,0.5657065585972723,0.37669261101227297,142928872,18791768046,23938164,15232194409,0.015075099152698926
coherent_rx_d3_r1,0.17697631762486243,4.368364521086507,0.3262615188766041,0.7180227307462521,1611688,735726,287892,399085,54.07152087136252
coherent_ry_d3_r3,0.12185188116319431,0.9159946293232744,0.4339016101639964,0.008587978320496814,515117208,44427246,77106564,12476431,87.16002669970233
