circuit,shot_id,meas_idx,step_id,record_id,meas_qubit,pending_rot_before,nc_core_rot,not_needed_this_meas,nc_core_qubits,nc_state_log2_transient,nc_state_log2_resident,clifft_active_rank_at_meas,state_gap_log2,core_rot_ids,core_qubit_ids
coherent_d3_r1,0,0,151,0,4,22,0,22,0,0,0,5,5,,
coherent_d3_r1,0,1,160,2,5,23,0,23,0,0,0,5,5,,
coherent_d3_r1,0,2,176,5,6,24,0,24,0,0,0,5,5,,
coherent_d3_r1,0,3,185,7,7,25,0,25,0,0,0,5,5,,
coherent_d3_r1,0,4,204,8,0,25,0,25,0,0,0,4,4,,
coherent_d3_r1,0,5,210,9,1,25,0,25,0,0,0,3,3,,
coherent_d3_r1,0,6,223,11,3,25,0,25,0,0,0,2,2,,
coherent_d3_r1,0,7,244,15,2,25,0,25,0,0,0,1,1,,
