circuit,shot_id,meas_idx,step_id,record_id,meas_qubit,pending_rot_before,nc_core_rot,not_needed_this_meas,nc_core_qubits,nc_state_log2_transient,nc_state_log2_resident,clifft_active_rank_at_meas,state_gap_log2,core_rot_ids,core_qubit_ids
coherent_d3_r3,0,0,151,0,4,22,0,22,0,0,0,5,5,,
coherent_d3_r3,0,1,160,2,5,23,0,23,0,0,0,5,5,,
coherent_d3_r3,0,2,176,5,6,24,0,24,0,0,0,5,5,,
coherent_d3_r3,0,3,185,7,7,25,0,25,0,0,0,5,5,,
coherent_d3_r3,0,4,325,8,8,52,10,42,3,3,2,8,5,0 4 7 10 15 19 25 49 50 51,0 1 8
coherent_d3_r3,0,5,331,10,9,45,14,31,4,4,3,7,3,1 6 9 11 12 13 16 17 26 29 33 52 53 54,0 1 2 9
coherent_d3_r3,0,6,338,13,10,34,12,22,5,5,4,6,1,2 5 8 18 20 27 32 37 38 55 56 57,0 1 2 3 10
coherent_d3_r3,0,7,343,15,11,25,9,16,5,5,4,5,0,3 14 28 30 34 39 58 59 60,0 1 2 3 11
coherent_d3_r3,0,8,465,16,12,43,7,36,5,5,4,8,3,35 43 47 61 85 86 87,0 1 2 3 12
coherent_d3_r3,0,9,471,18,13,39,11,28,5,5,4,7,2,31 40 41 44 45 62 65 69 88 89 90,0 1 2 3 13
coherent_d3_r3,0,10,481,21,14,31,10,21,5,5,4,6,1,36 46 48 63 68 73 74 91 92 93,0 1 2 3 14
coherent_d3_r3,0,11,486,23,15,24,8,16,5,5,4,5,0,42 64 66 70 75 94 95 96,0 1 2 3 15
coherent_d3_r3,0,12,509,24,0,16,0,16,0,4,3,4,0,,
coherent_d3_r3,0,13,515,25,1,16,0,16,0,3,2,3,0,,
coherent_d3_r3,0,14,529,27,3,16,0,16,0,2,0,2,0,,
coherent_d3_r3,0,15,553,31,2,16,0,16,0,1,0,1,0,,
