step,n_active,clifft_dense_bytes,ttn_stored_bytes,near_clifft_bytes,near_clifft_qubits,near_clifft_bytes_resident,near_clifft_qubits_resident,dense_over_ttn,dense_over_nc
95,4,256,672,420,0,420,0,0.38095238095238093,0.6095238095238096
96,4,256,672,420,0,420,0,0.38095238095238093,0.6095238095238096
97,4,256,672,420,0,420,0,0.38095238095238093,0.6095238095238096
98,4,256,672,420,0,420,0,0.38095238095238093,0.6095238095238096
99,4,256,672,440,0,440,0,0.38095238095238093,0.5818181818181818
100,4,256,672,440,0,440,0,0.38095238095238093,0.5818181818181818
101,4,256,672,460,0,460,0,0.38095238095238093,0.5565217391304348
102,4,256,672,460,0,460,0,0.38095238095238093,0.5565217391304348
103,4,256,672,460,0,460,0,0.38095238095238093,0.5565217391304348
104,4,256,672,480,0,480,0,0.38095238095238093,0.5333333333333333
105,4,256,672,480,0,480,0,0.38095238095238093,0.5333333333333333
106,4,256,672,480,0,480,0,0.38095238095238093,0.5333333333333333
107,4,256,672,480,0,480,0,0.38095238095238093,0.5333333333333333
108,4,256,672,480,0,480,0,0.38095238095238093,0.5333333333333333
109,4,256,672,480,0,480,0,0.38095238095238093,0.5333333333333333
110,4,256,672,480,0,480,0,0.38095238095238093,0.5333333333333333
111,4,256,672,500,0,500,0,0.38095238095238093,0.512
112,4,256,672,500,0,500,0,0.38095238095238093,0.512
113,4,256,672,500,0,500,0,0.38095238095238093,0.512
114,4,256,672,500,0,500,0,0.38095238095238093,0.512
115,4,256,672,500,0,500,0,0.38095238095238093,0.512
116,4,256,672,500,0,500,0,0.38095238095238093,0.512
117,4,256,672,520,0,520,0,0.38095238095238093,0.49230769230769234
118,4,256,672,520,0,520,0,0.38095238095238093,0.49230769230769234
119,4,256,672,520,0,520,0,0.38095238095238093,0.49230769230769234
120,4,256,672,520,0,520,0,0.38095238095238093,0.49230769230769234
121,4,256,864,540,0,540,0,0.2962962962962963,0.4740740740740741
122,4,256,864,540,0,540,0,0.2962962962962963,0.4740740740740741
123,4,256,864,540,0,540,0,0.2962962962962963,0.4740740740740741
124,4,256,864,540,0,540,0,0.2962962962962963,0.4740740740740741
125,4,256,864,540,0,540,0,0.2962962962962963,0.4740740740740741
126,4,256,864,540,0,540,0,0.2962962962962963,0.4740740740740741
127,4,256,864,540,0,540,0,0.2962962962962963,0.4740740740740741
128,4,256,1408,560,0,560,0,0.18181818181818182,0.45714285714285713
129,4,256,1408,560,0,560,0,0.18181818181818182,0.45714285714285713
130,4,256,1408,560,0,560,0,0.18181818181818182,0.45714285714285713
131,4,256,1408,560,0,560,0,0.18181818181818182,0.45714285714285713
132,4,256,1408,560,0,560,0,0.18181818181818182,0.45714285714285713
133,4,256,1408,560,0,560,0,0.18181818181818182,0.45714285714285713
134,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
135,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
136,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
137,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
138,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
139,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
140,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
141,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
142,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
143,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
144,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
145,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
146,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
147,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
148,4,256,1408,580,0,580,0,0.18181818181818182,0.4413793103448276
149,4,256,1424,580,0,580,0,0.1797752808988764,0.4413793103448276
150,5,512,1424,600,0,600,0,0.3595505617977528,0.8533333333333334
151,5,512,1424,600,0,600,0,0.3595505617977528,0.8533333333333334
152,4,256,1424,600,0,600,0,0.1797752808988764,0.4266666666666667
153,4,256,1424,600,0,600,0,0.1797752808988764,0.4266666666666667
154,4,256,1424,600,0,600,0,0.1797752808988764,0.4266666666666667
155,4,256,1424,600,0,600,0,0.1797752808988764,0.4266666666666667
156,4,256,1424,600,0,600,0,0.1797752808988764,0.4266666666666667
157,4,256,1424,600,0,600,0,0.1797752808988764,0.4266666666666667
158,4,256,1424,600,0,600,0,0.1797752808988764,0.4266666666666667
159,5,512,1424,620,0,620,0,0.3595505617977528,0.8258064516129032
160,5,512,1424,620,0,620,0,0.3595505617977528,0.8258064516129032
161,4,256,1424,620,0,620,0,0.1797752808988764,0.4129032258064516
