step,n_active,clifft_dense_bytes,ttn_stored_bytes,near_clifft_bytes,near_clifft_qubits,near_clifft_bytes_resident,near_clifft_qubits_resident,dense_over_ttn,dense_over_nc
0,0,16,16,48,0,48,0,1.0,0.3333333333333333
1,0,16,16,48,0,48,0,1.0,0.3333333333333333
2,0,16,16,48,0,48,0,1.0,0.3333333333333333
3,0,16,16,48,0,48,0,1.0,0.3333333333333333
4,0,16,16,48,0,48,0,1.0,0.3333333333333333
5,0,16,16,48,0,48,0,1.0,0.3333333333333333
6,0,16,16,48,0,48,0,1.0,0.3333333333333333
7,0,16,16,48,0,48,0,1.0,0.3333333333333333
8,0,16,16,48,0,48,0,1.0,0.3333333333333333
9,0,16,16,48,0,48,0,1.0,0.3333333333333333
10,0,16,16,48,0,48,0,1.0,0.3333333333333333
11,0,16,16,48,0,48,0,1.0,0.3333333333333333
12,0,16,16,48,0,48,0,1.0,0.3333333333333333
13,0,16,16,48,0,48,0,1.0,0.3333333333333333
14,0,16,16,48,0,48,0,1.0,0.3333333333333333
15,0,16,16,48,0,48,0,1.0,0.3333333333333333
16,0,16,16,48,0,48,0,1.0,0.3333333333333333
17,0,16,16,48,0,48,0,1.0,0.3333333333333333
18,0,16,16,48,0,48,0,1.0,0.3333333333333333
19,0,16,16,48,0,48,0,1.0,0.3333333333333333
20,0,16,16,48,0,48,0,1.0,0.3333333333333333
21,0,16,16,48,0,48,0,1.0,0.3333333333333333
22,0,16,16,48,0,48,0,1.0,0.3333333333333333
23,0,16,16,48,0,48,0,1.0,0.3333333333333333
24,0,16,16,48,0,48,0,1.0,0.3333333333333333
25,0,16,16,48,0,48,0,1.0,0.3333333333333333
26,0,16,16,48,0,48,0,1.0,0.3333333333333333
27,0,16,16,48,0,48,0,1.0,0.3333333333333333
28,0,16,16,48,0,48,0,1.0,0.3333333333333333
29,0,16,16,48,0,48,0,1.0,0.3333333333333333
30,0,16,16,48,0,48,0,1.0,0.3333333333333333
31,0,16,16,48,0,48,0,1.0,0.3333333333333333
32,0,16,16,48,0,48,0,1.0,0.3333333333333333
33,0,16,16,48,0,48,0,1.0,0.3333333333333333
34,0,16,16,48,0,48,0,1.0,0.3333333333333333
35,0,16,16,48,0,48,0,1.0,0.3333333333333333
36,0,16,16,48,0,48,0,1.0,0.3333333333333333
37,0,16,16,48,0,48,0,1.0,0.3333333333333333
38,0,16,16,48,0,48,0,1.0,0.3333333333333333
39,0,16,16,48,0,48,0,1.0,0.3333333333333333
40,0,16,16,48,0,48,0,1.0,0.3333333333333333
41,0,16,16,48,0,48,0,1.0,0.3333333333333333
42,0,16,16,48,0,48,0,1.0,0.3333333333333333
43,0,16,16,48,0,48,0,1.0,0.3333333333333333
44,0,16,16,48,0,48,0,1.0,0.3333333333333333
45,0,16,16,48,0,48,0,1.0,0.3333333333333333
46,0,16,16,48,0,48,0,1.0,0.3333333333333333
47,0,16,256,48,0,48,0,0.0625,0.3333333333333333
48,1,32,256,66,0,66,0,0.125,0.48484848484848486
49,1,32,256,66,0,66,0,0.125,0.48484848484848486
50,1,32,272,66,0,66,0,0.11764705882352941,0.48484848484848486
51,2,64,272,84,0,84,0,0.23529411764705882,0.7619047619047619
52,2,64,272,84,0,84,0,0.23529411764705882,0.7619047619047619
53,2,64,288,84,0,84,0,0.2222222222222222,0.7619047619047619
54,3,128,288,102,0,102,0,0.4444444444444444,1.2549019607843137
55,3,128,288,102,0,102,0,0.4444444444444444,1.2549019607843137
56,3,128,304,102,0,102,0,0.42105263157894735,1.2549019607843137
57,4,256,304,120,0,120,0,0.8421052631578947,2.1333333333333333
58,4,256,304,120,0,120,0,0.8421052631578947,2.1333333333333333
59,4,256,304,138,0,138,0,0.8421052631578947,1.855072463768116
60,4,256,304,138,0,138,0,0.8421052631578947,1.855072463768116
61,4,256,304,156,0,156,0,0.8421052631578947,1.641025641025641
62,4,256,304,156,0,156,0,0.8421052631578947,1.641025641025641
63,4,256,304,174,0,174,0,0.8421052631578947,1.471264367816092
64,4,256,304,174,0,174,0,0.8421052631578947,1.471264367816092
65,4,256,304,174,0,174,0,0.8421052631578947,1.471264367816092
66,4,256,304,174,0,174,0,0.8421052631578947,1.471264367816092
67,4,256,304,174,0,174,0,0.8421052631578947,1.471264367816092
68,4,256,304,174,0,174,0,0.8421052631578947,1.471264367816092
69,4,256,304,174,0,174,0,0.8421052631578947,1.471264367816092
70,4,256,304,174,0,174,0,0.8421052631578947,1.471264367816092
71,4,256,304,174,0,174,0,0.8421052631578947,1.471264367816092
72,4,256,304,192,0,192,0,0.8421052631578947,1.3333333333333333
73,4,256,304,192,0,192,0,0.8421052631578947,1.3333333333333333
74,4,256,304,192,0,192,0,0.8421052631578947,1.3333333333333333
75,4,256,304,210,0,210,0,0.8421052631578947,1.2190476190476192
76,4,256,304,210,0,210,0,0.8421052631578947,1.2190476190476192
77,4,256,304,210,0,210,0,0.8421052631578947,1.2190476190476192
78,4,256,304,228,0,228,0,0.8421052631578947,1.1228070175438596
79,4,256,304,228,0,228,0,0.8421052631578947,1.1228070175438596
80,4,256,304,228,0,228,0,0.8421052631578947,1.1228070175438596
81,4,256,304,228,0,228,0,0.8421052631578947,1.1228070175438596
82,4,256,304,228,0,228,0,0.8421052631578947,1.1228070175438596
83,4,256,304,228,0,228,0,0.8421052631578947,1.1228070175438596
84,4,256,304,246,0,246,0,0.8421052631578947,1.0406504065040652
85,4,256,304,246,0,246,0,0.8421052631578947,1.0406504065040652
86,4,256,304,246,0,246,0,0.8421052631578947,1.0406504065040652
87,4,256,304,246,0,246,0,0.8421052631578947,1.0406504065040652
88,4,256,416,264,0,264,0,0.6153846153846154,0.9696969696969697
89,4,256,416,264,0,264,0,0.6153846153846154,0.9696969696969697
90,4,256,416,264,0,264,0,0.6153846153846154,0.9696969696969697
91,4,256,416,264,0,264,0,0.6153846153846154,0.9696969696969697
92,4,256,416,264,0,264,0,0.6153846153846154,0.9696969696969697
93,4,256,416,264,0,264,0,0.6153846153846154,0.9696969696969697
94,4,256,416,282,0,282,0,0.6153846153846154,0.9078014184397163
95,4,256,416,282,0,282,0,0.6153846153846154,0.9078014184397163
96,4,256,416,282,0,282,0,0.6153846153846154,0.9078014184397163
97,4,256,416,282,0,282,0,0.6153846153846154,0.9078014184397163
98,4,256,416,282,0,282,0,0.6153846153846154,0.9078014184397163
