step,n_active,bounded_resident_qubits,bounded_transient_qubits,bounded_resident_dim,bounded_transient_dim
261,5,5,5,32,32
262,5,5,5,32,32
263,4,4,5,16,32
264,4,4,4,16,16
265,4,4,4,16,16
266,4,4,4,16,16
267,3,3,4,8,16
268,3,3,3,8,8
269,3,3,3,8,8
270,2,2,3,4,8
271,2,2,2,4,4
272,2,2,2,4,4
273,1,1,2,2,4
274,1,1,1,2,2
275,1,1,1,2,2
276,1,1,1,2,2
277,0,0,1,1,2
278,0,0,0,1,1
279,0,0,0,1,1
280,0,0,0,1,1
281,0,0,0,1,1
282,0,0,0,1,1
