step,n_active,bounded_resident_qubits,bounded_transient_qubits,bounded_resident_dim,bounded_transient_dim
262,16,2,2,4,4
263,16,2,2,4,4
264,16,2,2,4,4
265,16,2,2,4,4
266,16,2,2,4,4
267,16,2,2,4,4
268,16,2,2,4,4
269,16,2,2,4,4
270,16,2,2,4,4
271,16,2,2,4,4
272,16,2,2,4,4
273,15,3,4,8,16
274,15,3,3,8,8
275,15,3,3,8,8
276,15,3,3,8,8
277,14,4,5,16,32
278,14,4,4,16,16
279,14,4,4,16,16
280,14,4,4,16,16
281,14,4,4,16,16
282,14,4,4,16,16
283,14,4,4,16,16
284,14,4,4,16,16
285,14,4,4,16,16
286,14,4,4,16,16
287,14,4,4,16,16
288,14,4,4,16,16
289,14,4,4,16,16
290,14,4,4,16,16
291,14,4,4,16,16
292,14,4,4,16,16
293,14,4,4,16,16
294,14,4,4,16,16
295,13,3,9,8,512
296,13,3,3,8,8
297,13,3,3,8,8
298,13,3,3,8,8
299,12,3,5,8,32
300,12,3,3,8,8
301,12,3,3,8,8
302,12,3,3,8,8
303,11,7,8,128,256
304,11,7,7,128,128
305,11,7,7,128,128
306,11,7,7,128,128
307,11,7,7,128,128
308,10,6,9,64,512
309,10,6,6,64,64
310,10,6,6,64,64
311,10,6,6,64,64
312,9,9,10,512,1024
313,9,9,9,512,512
314,9,9,9,512,512
315,9,9,9,512,512
316,9,9,9,512,512
317,9,9,9,512,512
318,9,9,9,512,512
319,9,9,9,512,512
320,9,9,9,512,512
321,9,9,9,512,512
322,9,9,9,512,512
323,9,9,9,512,512
324,9,9,9,512,512
325,9,9,9,512,512
326,9,9,9,512,512
327,9,9,9,512,512
328,9,9,9,512,512
329,9,9,9,512,512
330,9,9,9,512,512
331,9,9,9,512,512
332,9,9,9,512,512
333,9,9,9,512,512
334,9,9,9,512,512
335,8,8,9,256,512
336,8,8,8,256,256
337,8,8,8,256,256
338,8,8,8,256,256
339,7,9,10,512,1024
340,7,9,9,512,512
341,6,9,10,512,1024
342,6,9,9,512,512
343,6,9,9,512,512
344,5,8,9,256,512
345,5,8,8,256,256
346,5,8,8,256,256
347,4,6,8,64,256
348,4,6,6,64,64
349,4,6,6,64,64
350,4,6,6,64,64
351,3,5,6,32,64
352,3,5,5,32,32
353,3,5,5,32,32
354,2,2,5,4,32
355,2,2,2,4,4
356,2,2,2,4,4
357,1,3,4,8,16
358,1,3,3,8,8
359,1,3,3,8,8
360,0,1,3,2,8
361,0,1,1,2,2
362,0,1,1,2,2
363,0,1,1,2,2
364,0,1,1,2,2
365,0,1,1,2,2
