rank,n_events,flop_bounded,flop_clifft_modeled,win_ratio_cl_bn
0,3,0,0,
1,12,92,753664,8192.00
2,18,360,1474560,4096.00
3,18,400,819200,2048.00
4,19,992,1015808,1024.00
5,25,2368,1212416,512.00
6,43,6528,1507328,230.90
7,49,15872,2031616,128.00
8,34,32000,1966080,61.44
9,203,272896,8650752,31.70
10,436,1213440,19169280,15.80
11,247,1212416,9535488,7.86
12,38,376832,1507328,4.00
