rank,n_events,flop_bounded,flop_clifft_modeled,win_ratio_cl_bn
0,1,0,0,
1,10,40,20480,512.00
2,24,304,77824,256.00
3,46,992,126976,128.00
4,46,2848,182272,64.00
5,25,2240,71680,32.00
6,31,6016,96256,16.00
7,29,10496,83968,8.00
8,34,23040,92160,4.00
9,80,103424,206848,2.00
10,84,671744,653312,0.97
