rank,n_events,flop_bounded,flop_clifft_modeled,win_ratio_cl_bn
0,7,0,0,
1,14,150,17920,119.47
2,24,364,22016,60.48
3,42,1336,41472,31.04
4,95,5552,87552,15.77
5,104,13056,104448,8.00
