circuit,clifft_k,bounded_peak,clifft_unf_total,bnd_orig_total,bnd_p1_total,clf_diag_rot,clf_offdiag_rot,clf_array_clifford,clf_born_sqnorm,clf_purge,clf_other,bndP1_diag_rot,bndP1_offdiag_rot,bndP1_array_clifford,bndP1_born_sqnorm,bndP1_purge,bndP1_other
coherent_ry_d3_r1,16,16,12285496.0,22473292.0,17215664.0,4116474.0,0,7054926.0,1114096.0,0,0.0,0,14919912.0,1378208.0,917544.0,0.0,0.0
coherent_ry_d3_r3,16,16,36547128.0,64964188.0,48357552.0,12343290.0,0,20877902.0,3325936.0,0,0.0,0,44226792.0,1378208.0,2752552.0,0.0,0.0
cultivation_d3,4,4,1796.0,6232.0,5532.0,0,0,1316.0,480.0,0,0.0,0,4824.0,288.0,420.0,0.0,0.0
cultivation_d5,10,10,212818.0,837688.0,731792.0,0,0,179730.0,33088.0,0,0.0,0,684408.0,18432.0,28952.0,0.0,0.0
coherent_rx_d3_r1,14,11,870378.0,522364.0,254104.0,471546.0,0,46592.0,352240.0,0,0.0,4992.0,190344.0,14880.0,43888.0,0.0,0.0
coherent_rx_d3_r3,14,12,2588650.0,3282156.0,1327960.0,1408506.0,0,139776.0,1040368.0,0,0.0,14976.0,1013736.0,40320.0,258928.0,0.0,0.0
coherent_d3_r3,8,5,52562.0,21442.0,15526.0,44250.0,0,3840.0,4472.0,0,0.0,1296.0,12360.0,150.0,1720.0,0.0,0.0
coherent_d5_r5,24,13,17986445298.0,49618530.0,25110134.0,16912539642.0,0,536739840.0,537165816.0,0,0.0,1972464.0,20738184.0,40950.0,2358536.0,0.0,0.0
distillation,5,4,1898.0,1856.0,1556.0,186.0,0,1232.0,480.0,0,0.0,336.0,456.0,500.0,264.0,0.0,0.0
