rank,n_events,flop_bounded,flop_clifft_modeled,win_ratio_cl_bn
0,3,0,0,
1,9,44,1441792,32768.00
2,21,184,2490368,13534.61
3,27,640,4194304,6553.60
4,18,800,3276800,4096.00
5,22,1856,3801088,2048.00
6,21,3200,2752512,860.16
7,34,10496,5373952,512.00
8,39,22272,4849664,217.75
9,113,142336,17694720,124.32
10,143,329728,20578304,62.41
11,133,620544,19529728,31.47
12,155,1884160,28966912,15.37
13,123,2506752,20054016,8.00
14,124,5308416,20578304,3.88
15,225,35848192,70123520,1.96
16,41,16711680,16384000,0.98
