rank,n_events,flop_bounded,flop_clifft_modeled,win_ratio_cl_bn
0,3,0,0,
1,12,92,753664,8192.00
2,14,248,1015808,4096.00
3,16,368,753664,2048.00
4,19,992,1015808,1024.00
5,21,2144,1015808,473.79
6,41,5760,1310720,227.56
7,49,15872,2031616,128.00
8,32,28928,1769472,61.17
9,67,70144,2162688,30.83
10,91,278528,4292608,15.41
11,19,94208,753664,8.00
