step,n_active,clifft_dense_bytes,ttn_stored_bytes,near_clifft_bytes,near_clifft_qubits,near_clifft_bytes_resident,near_clifft_qubits_resident,dense_over_ttn,dense_over_nc
97,1,32,512,180,0,180,0,0.0625,0.17777777777777778
98,1,32,512,180,0,180,0,0.0625,0.17777777777777778
99,1,32,512,180,0,180,0,0.0625,0.17777777777777778
100,1,32,512,180,0,180,0,0.0625,0.17777777777777778
101,1,32,512,180,0,180,0,0.0625,0.17777777777777778
102,1,32,512,180,0,180,0,0.0625,0.17777777777777778
103,1,32,512,180,0,180,0,0.0625,0.17777777777777778
104,1,32,512,180,0,180,0,0.0625,0.17777777777777778
105,1,32,512,180,0,180,0,0.0625,0.17777777777777778
106,1,32,512,180,0,180,0,0.0625,0.17777777777777778
107,1,32,512,180,0,180,0,0.0625,0.17777777777777778
108,1,32,512,180,0,180,0,0.0625,0.17777777777777778
109,1,32,512,180,0,180,0,0.0625,0.17777777777777778
110,1,32,512,180,0,180,0,0.0625,0.17777777777777778
111,1,32,512,180,0,180,0,0.0625,0.17777777777777778
112,1,32,512,180,0,180,0,0.0625,0.17777777777777778
113,1,32,512,180,0,180,0,0.0625,0.17777777777777778
114,1,32,512,180,0,180,0,0.0625,0.17777777777777778
115,1,32,512,180,0,180,0,0.0625,0.17777777777777778
116,1,32,512,180,0,180,0,0.0625,0.17777777777777778
117,1,32,512,180,0,180,0,0.0625,0.17777777777777778
118,1,32,512,180,0,180,0,0.0625,0.17777777777777778
119,1,32,512,180,0,180,0,0.0625,0.17777777777777778
120,1,32,512,180,0,180,0,0.0625,0.17777777777777778
121,1,32,512,180,0,180,0,0.0625,0.17777777777777778
122,1,32,512,180,0,180,0,0.0625,0.17777777777777778
123,1,32,512,180,0,180,0,0.0625,0.17777777777777778
124,1,32,512,180,0,180,0,0.0625,0.17777777777777778
125,1,32,512,180,0,180,0,0.0625,0.17777777777777778
126,1,32,512,180,0,180,0,0.0625,0.17777777777777778
127,1,32,512,180,0,180,0,0.0625,0.17777777777777778
128,1,32,512,180,0,180,0,0.0625,0.17777777777777778
129,1,32,512,180,0,180,0,0.0625,0.17777777777777778
130,1,32,512,180,0,180,0,0.0625,0.17777777777777778
131,1,32,512,180,0,180,0,0.0625,0.17777777777777778
132,1,32,512,180,0,180,0,0.0625,0.17777777777777778
133,1,32,512,180,0,180,0,0.0625,0.17777777777777778
134,1,32,512,180,0,180,0,0.0625,0.17777777777777778
135,1,32,512,180,0,180,0,0.0625,0.17777777777777778
136,1,32,512,180,0,180,0,0.0625,0.17777777777777778
137,1,32,512,180,0,180,0,0.0625,0.17777777777777778
138,1,32,528,180,0,180,0,0.06060606060606061,0.17777777777777778
139,2,64,528,200,0,200,0,0.12121212121212122,0.32
140,2,64,528,200,0,200,0,0.12121212121212122,0.32
141,2,64,528,200,0,200,0,0.12121212121212122,0.32
142,2,64,528,200,0,200,0,0.12121212121212122,0.32
143,2,64,528,200,0,200,0,0.12121212121212122,0.32
144,2,64,544,200,0,200,0,0.11764705882352941,0.32
145,3,128,544,220,0,220,0,0.23529411764705882,0.5818181818181818
146,3,128,544,220,0,220,0,0.23529411764705882,0.5818181818181818
147,3,128,544,220,0,220,0,0.23529411764705882,0.5818181818181818
148,3,128,544,220,0,220,0,0.23529411764705882,0.5818181818181818
149,3,128,544,220,0,220,0,0.23529411764705882,0.5818181818181818
150,3,128,544,220,0,220,0,0.23529411764705882,0.5818181818181818
151,3,128,544,220,0,220,0,0.23529411764705882,0.5818181818181818
152,3,128,544,220,0,220,0,0.23529411764705882,0.5818181818181818
153,3,128,544,220,0,220,0,0.23529411764705882,0.5818181818181818
154,3,128,560,220,0,220,0,0.22857142857142856,0.5818181818181818
155,4,256,560,240,0,240,0,0.45714285714285713,1.0666666666666667
156,4,256,864,240,0,240,0,0.2962962962962963,1.0666666666666667
157,4,256,864,240,0,240,0,0.2962962962962963,1.0666666666666667
158,4,256,864,240,0,240,0,0.2962962962962963,1.0666666666666667
159,4,256,864,240,0,240,0,0.2962962962962963,1.0666666666666667
160,4,256,864,260,0,260,0,0.2962962962962963,0.9846153846153847
161,4,256,960,260,0,260,0,0.26666666666666666,0.9846153846153847
162,4,256,960,260,0,260,0,0.26666666666666666,0.9846153846153847
163,4,256,960,260,0,260,0,0.26666666666666666,0.9846153846153847
