step,n_active,clifft_dense_bytes,ttn_stored_bytes,near_clifft_bytes,near_clifft_qubits,near_clifft_bytes_resident,near_clifft_qubits_resident,dense_over_ttn,dense_over_nc
0,0,16,16,48,0,48,0,1.0,0.3333333333333333
1,0,16,16,48,0,48,0,1.0,0.3333333333333333
2,0,16,16,48,0,48,0,1.0,0.3333333333333333
3,0,16,16,48,0,48,0,1.0,0.3333333333333333
4,0,16,16,48,0,48,0,1.0,0.3333333333333333
5,0,16,16,48,0,48,0,1.0,0.3333333333333333
6,0,16,16,48,0,48,0,1.0,0.3333333333333333
7,0,16,16,48,0,48,0,1.0,0.3333333333333333
8,0,16,16,48,0,48,0,1.0,0.3333333333333333
9,0,16,16,48,0,48,0,1.0,0.3333333333333333
10,0,16,16,48,0,48,0,1.0,0.3333333333333333
11,0,16,16,48,0,48,0,1.0,0.3333333333333333
12,0,16,16,48,0,48,0,1.0,0.3333333333333333
13,0,16,16,48,0,48,0,1.0,0.3333333333333333
14,0,16,16,48,0,48,0,1.0,0.3333333333333333
15,0,16,16,48,0,48,0,1.0,0.3333333333333333
16,0,16,16,48,0,48,0,1.0,0.3333333333333333
17,0,16,16,48,0,48,0,1.0,0.3333333333333333
18,0,16,16,48,0,48,0,1.0,0.3333333333333333
19,0,16,16,48,0,48,0,1.0,0.3333333333333333
20,0,16,16,48,0,48,0,1.0,0.3333333333333333
21,0,16,16,48,0,48,0,1.0,0.3333333333333333
22,0,16,16,48,0,48,0,1.0,0.3333333333333333
23,0,16,16,48,0,48,0,1.0,0.3333333333333333
24,0,16,16,48,0,48,0,1.0,0.3333333333333333
25,0,16,16,48,0,48,0,1.0,0.3333333333333333
26,0,16,16,48,0,48,0,1.0,0.3333333333333333
27,0,16,16,48,0,48,0,1.0,0.3333333333333333
28,0,16,16,48,0,48,0,1.0,0.3333333333333333
29,0,16,16,48,0,48,0,1.0,0.3333333333333333
30,0,16,16,48,0,48,0,1.0,0.3333333333333333
31,0,16,16,48,0,48,0,1.0,0.3333333333333333
32,0,16,16,48,0,48,0,1.0,0.3333333333333333
33,0,16,16,48,0,48,0,1.0,0.3333333333333333
34,0,16,16,48,0,48,0,1.0,0.3333333333333333
35,0,16,16,48,0,48,0,1.0,0.3333333333333333
36,0,16,16,48,0,48,0,1.0,0.3333333333333333
37,0,16,16,48,0,48,0,1.0,0.3333333333333333
38,0,16,16,48,0,48,0,1.0,0.3333333333333333
39,0,16,16,48,0,48,0,1.0,0.3333333333333333
40,0,16,16,48,0,48,0,1.0,0.3333333333333333
41,0,16,16,48,0,48,0,1.0,0.3333333333333333
42,0,16,16,48,0,48,0,1.0,0.3333333333333333
43,0,16,16,48,0,48,0,1.0,0.3333333333333333
44,0,16,16,48,0,48,0,1.0,0.3333333333333333
45,0,16,16,48,0,48,0,1.0,0.3333333333333333
46,0,16,16,48,0,48,0,1.0,0.3333333333333333
47,0,16,256,48,0,48,0,0.0625,0.3333333333333333
48,1,32,256,48,0,48,0,0.125,0.6666666666666666
49,1,32,256,48,0,48,0,0.125,0.6666666666666666
50,1,32,272,48,0,48,0,0.11764705882352941,0.6666666666666666
51,2,64,272,48,0,48,0,0.23529411764705882,1.3333333333333333
52,2,64,272,48,0,48,0,0.23529411764705882,1.3333333333333333
53,2,64,288,48,0,48,0,0.2222222222222222,1.3333333333333333
54,3,128,288,48,0,48,0,0.4444444444444444,2.6666666666666665
55,3,128,288,48,0,48,0,0.4444444444444444,2.6666666666666665
56,3,128,304,48,0,48,0,0.42105263157894735,2.6666666666666665
57,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
58,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
59,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
60,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
61,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
62,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
63,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
64,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
65,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
66,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
67,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
68,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
69,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
70,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
71,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
72,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
73,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
74,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
75,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
76,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
77,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
78,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
79,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
80,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
81,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
82,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
83,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
84,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
85,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
86,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
87,4,256,304,48,0,48,0,0.8421052631578947,5.333333333333333
88,4,256,416,48,0,48,0,0.6153846153846154,5.333333333333333
89,4,256,416,48,0,48,0,0.6153846153846154,5.333333333333333
90,4,256,416,48,0,48,0,0.6153846153846154,5.333333333333333
91,4,256,416,48,0,48,0,0.6153846153846154,5.333333333333333
92,4,256,416,48,0,48,0,0.6153846153846154,5.333333333333333
93,4,256,416,48,0,48,0,0.6153846153846154,5.333333333333333
94,4,256,416,48,0,48,0,0.6153846153846154,5.333333333333333
95,4,256,416,48,0,48,0,0.6153846153846154,5.333333333333333
96,4,256,416,48,0,48,0,0.6153846153846154,5.333333333333333
97,4,256,416,48,0,48,0,0.6153846153846154,5.333333333333333
98,4,256,416,48,0,48,0,0.6153846153846154,5.333333333333333
99,4,256,416,48,0,48,0,0.6153846153846154,5.333333333333333
